,nama,link,harga,img,kota,terjual
21,Fashion Bando Mutiara Korea / Korean Hairband Pearl Pearls Cantik Bermotif,https://shopee.co.id/Fashion-Bando-Mutiara-Korea-Korean-Hairband-Pearl-Pearls-Cantik-Bermotif-i.711544477.22804038705?sp_atk=19e9d02f-68b0-4635-aa6d-de807ddbc75e&xptdk=19e9d02f-68b0-4635-aa6d-de807ddbc75e,Rp5.600 - Rp8.500,https://down-id.img.susercontent.com/file/sg-11134201-22110-5wr660lm3ijv57_tn,KAB. TANGERANG,10RB+ Terjual
22,SC✌KC099 Kacamata Wanita Korean Retro Frame Anti Radiasi Lensa Style Minimalis Unisex COD,https://shopee.co.id/SC✌KC099-Kacamata-Wanita-Korean-Retro-Frame-Anti-Radiasi-Lensa-Style-Minimalis-Unisex-COD-i.167067033.2614926843?sp_atk=aae629be-9cf0-461e-b9aa-e241ef14425d&xptdk=aae629be-9cf0-461e-b9aa-e241ef14425d,Rp4.220,https://down-id.img.susercontent.com/file/6939158016eb75a6187ff5a61e6267c3_tn,KAB. TANGERANG,10RB+ Terjual
23,"[✅COD] Softlens Minus (-1.00 s/d -6.00) Softlens Normal, Soflen Gray Soflen Minus Diameter 14.2MM Icy Gray/Graphite/Ochre/Amber",https://shopee.co.id/-✅COD-Softlens-Minus-(-1.00-s-d-6.00)-Softlens-Normal-Soflen-Gray-Soflen-Minus-Diameter-14.2MM-Icy-Gray-Graphite-Ochre-Amber-i.448966379.14950468127?sp_atk=338e2c1d-04d7-4c00-98a1-7c2d92d7216b&xptdk=338e2c1d-04d7-4c00-98a1-7c2d92d7216b,Rp36.800 - Rp39.800,https://down-id.img.susercontent.com/file/id-11134207-7qukx-liy41o82b2jacf_tn,KOTA JAKARTA BARAT,10RB+ Terjual
24,New hot 1pcs shoe charms Sepatu Desain Kartun anime Marvel violent bear bare bad bunny bear Crocs Pin Jibbitz Dapat Dilepas Untuk shoes buckle decorate accessories,https://shopee.co.id/New-hot-1pcs-shoe-charms-Sepatu-Desain-Kartun-anime-Marvel-violent-bear-bare-bad-bunny-bear-Crocs-Pin-Jibbitz-Dapat-Dilepas-Untuk-shoes-buckle-decorate-accessories-i.784536720.18926811752?sp_atk=9b7ad3f2-e2f2-487e-ba3e-3fc45d87ecb3&xptdk=9b7ad3f2-e2f2-487e-ba3e-3fc45d87ecb3,Rp2.877,https://down-id.img.susercontent.com/file/7f106e13555663cbc80b6d2d7701171c_tn,Luar Negeri,10RB+ Terjual
25,Jepit Rambut Model Cakar Hias Mutiara Imitasi Untuk Wanita / Jepit Rambut Bahan Full Metal,https://shopee.co.id/Jepit-Rambut-Model-Cakar-Hias-Mutiara-Imitasi-Untuk-Wanita-Jepit-Rambut-Bahan-Full-Metal-i.28824240.10528372996?sp_atk=1603df7a-3998-48e8-8af1-c1956547ccc9&xptdk=1603df7a-3998-48e8-8af1-c1956547ccc9,Rp7.999 - Rp9.800,https://down-id.img.susercontent.com/file/b931160e96264a857d410f2665600a6f_tn,KOTA TANGERANG,10RB+ Terjual
26,"PL-AR002 ""PROMO""Kacamata Korea Wanita Photocromic Anti Radiasi Wanita Fashion Cat Eye Eyeglasses  AR02",https://shopee.co.id/PL-AR002-PROMO-Kacamata-Korea-Wanita-Photocromic-Anti-Radiasi-Wanita-Fashion-Cat-Eye-Eyeglasses-AR02-i.610272037.16521920470?sp_atk=8791b24b-df18-4173-b2c5-ad370926e350&xptdk=8791b24b-df18-4173-b2c5-ad370926e350,Rp3.579 - Rp9.849,https://down-id.img.susercontent.com/file/sg-11134201-23020-3o53o7pjxcnv06_tn,KOTA JAKARTA UTARA,10RB+ Terjual
27,{BISA COD} SOFTLENS ICE N8 BY EXOTICON NORMAL & MINUS -0.50 SD -2.00,https://shopee.co.id/-BISA-COD-SOFTLENS-ICE-N8-BY-EXOTICON-NORMAL-MINUS-0.50-SD-2.00-i.374519515.9561129304?sp_atk=0d937f61-934a-4b23-968e-de262427ac25&xptdk=0d937f61-934a-4b23-968e-de262427ac25,Rp34.000 - Rp36.000,https://down-id.img.susercontent.com/file/3b5d6d60271f7f78c784576a522757f1_tn,KOTA JAKARTA BARAT,10RB+ Terjual
28,Gelang bangle bagus model korea terbaru lucu imut cantik cocok untuk hadiah bentuk buah binatang,https://shopee.co.id/Gelang-bangle-bagus-model-korea-terbaru-lucu-imut-cantik-cocok-untuk-hadiah-bentuk-buah-binatang-i.429107548.8248294067?sp_atk=1727a130-8859-4abf-a6ac-bc4a8c4c4542&xptdk=1727a130-8859-4abf-a6ac-bc4a8c4c4542,Rp5.999,https://down-id.img.susercontent.com/file/6abee2f61daf453b8af2fe22132c9b1c_tn,KOTA TANGERANG SELATAN,10RB+ Terjual
29,Jepit Rambut Korea Lucu Aksesoris Rambut Remaja Jepitan Poni Isi 3 MCO AR53,https://shopee.co.id/Jepit-Rambut-Korea-Lucu-Aksesoris-Rambut-Remaja-Jepitan-Poni-Isi-3-MCO-AR53-i.6707878.18760867938?sp_atk=1242df5d-1d01-4fa7-a21d-fe456c3fd928&xptdk=1242df5d-1d01-4fa7-a21d-fe456c3fd928,Rp3.999 - Rp4.950,https://down-id.img.susercontent.com/file/sg-11134201-22110-9ss895v811jvd7_tn,KOTA BOGOR,10RB+ Terjual
30,OSM JKT F5327 Kacamata Lensa Warna-Warni / Kacamata Bingkai Retro Persegi Fashion Wanita & Pria / Kacamata Gaya Fashion Korea,https://shopee.co.id/OSM-JKT-F5327-Kacamata-Lensa-Warna-Warni-Kacamata-Bingkai-Retro-Persegi-Fashion-Wanita-Pria-Kacamata-Gaya-Fashion-Korea-i.231799972.16801419564?sp_atk=57008ea7-d8d3-47e5-8d35-487ef980bc51&xptdk=57008ea7-d8d3-47e5-8d35-487ef980bc51,Rp4.940,https://down-id.img.susercontent.com/file/id-11134207-7qul0-liwgwof3fh5ibc_tn,KAB. TANGERANG,10RB+ Terjual
